year,state,yield_bu_acre
2005,COLORADO,137.0
2005,IOWA,170.8
2005,MISSOURI,105.2
2005,NEBRASKA,157.4
2005,WISCONSIN,140.4
2006,COLORADO,152.4
2006,IOWA,168.8
2006,MISSOURI,140.0
2006,NEBRASKA,156.4
2006,WISCONSIN,149.0
2007,COLORADO,148.0
2007,IOWA,177.6
2007,MISSOURI,139.4
2007,NEBRASKA,166.4
2007,WISCONSIN,142.6
2008,COLORADO,142.4
2008,IOWA,170.8
2008,MISSOURI,142.4
2008,NEBRASKA,161.0
2008,WISCONSIN,138.2
2009,COLORADO,143.2
2009,IOWA,184.8
2009,MISSOURI,150.4
2009,NEBRASKA,174.0
2009,WISCONSIN,143.0
2010,COLORADO,144.6
2010,IOWA,171.8
2010,MISSOURI,135.4
2010,NEBRASKA,172.2
2010,WISCONSIN,160.8
2011,COLORADO,127.4
2011,IOWA,171.2
2011,MISSOURI,118.0
2011,NEBRASKA,161.2
2011,WISCONSIN,158.2
2012,COLORADO,135.8
2012,IOWA,139.4
2012,MISSOURI,75.0
2012,NEBRASKA,143.0
2012,WISCONSIN,126.8
2013,COLORADO,139.25
2013,IOWA,164.5
2013,MISSOURI,131.0
2013,NEBRASKA,165.75
2013,WISCONSIN,144.25
2014,COLORADO,144.8
2014,IOWA,183.2
2014,MISSOURI,175.2
2014,NEBRASKA,178.6
2014,WISCONSIN,159.6
2015,COLORADO,152.0
2015,IOWA,185.6
2015,MISSOURI,147.2
2015,NEBRASKA,185.4
2015,WISCONSIN,163.6
2016,COLORADO,139.4
2016,IOWA,198.6
2016,MISSOURI,164.8
2016,NEBRASKA,182.8
2016,WISCONSIN,176.6
2017,COLORADO,145.2
2017,IOWA,193.0
2017,MISSOURI,168.6
2017,NEBRASKA,181.0
2017,WISCONSIN,166.0
2018,COLORADO,129.2
2018,IOWA,201.2
2018,MISSOURI,139.2
2018,NEBRASKA,195.2
2018,WISCONSIN,176.8
2019,COLORADO,141.0
2019,IOWA,192.8
2019,MISSOURI,157.0
2019,NEBRASKA,184.4
2019,WISCONSIN,164.0
2020,COLORADO,119.4
2020,IOWA,188.0
2020,MISSOURI,170.0
2020,NEBRASKA,186.2
2020,WISCONSIN,181.2
2021,COLORADO,132.2
2021,IOWA,199.4
2021,MISSOURI,164.6
2021,NEBRASKA,189.8
2021,WISCONSIN,172.6
2022,COLORADO,122.2
2022,IOWA,201.4
2022,MISSOURI,153.6
2022,NEBRASKA,172.4
2022,WISCONSIN,182.4
2023,COLORADO,126.8
2023,IOWA,200.6
2023,MISSOURI,145.8
2023,NEBRASKA,178.0
2023,WISCONSIN,168.6
2024,COLORADO,122.2
2024,IOWA,211.8
2024,MISSOURI,182.4
2024,NEBRASKA,193.4
2024,WISCONSIN,180.4
