model_version,forecast_date,rmse,mae,ci_cov_pct,n_states
05_model-2,aug1,33.21,30.23,0.0,5
05_model-2,sep1,31.64,28.11,20.0,5
05_model-2,final,28.7,24.72,0.0,5
05_model1.1,aug1,28.38,25.11,0.0,5
05_model1.1,sep1,27.07,23.74,0.0,5
05_model1.1,final,26.09,22.07,0.0,5
05_model1.2,aug1,33.21,30.23,0.0,5
05_model1.2,sep1,31.64,28.11,20.0,5
05_model1.2,final,28.7,24.72,0.0,5
05_model1.4,aug1,5.5,4.66,100.0,5
05_model1.4,sep1,4.89,4.28,80.0,5
05_model1.4,final,7.93,5.97,80.0,5
05_model1.5,aug1,12.4,9.84,40.0,5
05_model1.5,sep1,10.33,9.29,40.0,5
05_model1.5,final,10.13,9.36,20.0,5
