model_version,state,forecast_date,predicted_yield,usda_yield,error,pct_error,ci_covers,usda_actual,err_vs_actual
05_model-2,Colorado,aug1,139.77,118.0,21.77000000000001,18.45,False,133,6.77000000000001
05_model-2,Iowa,aug1,165.48,222.0,-56.52000000000001,-25.46,False,210,-44.52000000000001
05_model-2,Missouri,aug1,161.31,191.0,-29.689999999999998,-15.54,False,185,-23.689999999999998
05_model-2,Nebraska,aug1,174.42,192.0,-17.580000000000013,-9.16,False,194,-19.580000000000013
05_model-2,Wisconsin,aug1,159.4,185.0,-25.599999999999994,-13.84,False,188,-28.599999999999994
05_model-2,Colorado,final,142.76,130.0,12.759999999999991,9.82,False,133,9.759999999999991
05_model-2,Iowa,final,162.95,216.0,-53.05000000000001,-24.56,False,210,-47.05000000000001
05_model-2,Missouri,final,156.64,178.0,-21.360000000000014,-12.0,False,185,-28.360000000000014
05_model-2,Nebraska,final,175.93,191.0,-15.069999999999993,-7.89,False,194,-18.069999999999993
05_model-2,Wisconsin,final,161.63,183.0,-21.370000000000005,-11.68,False,188,-26.370000000000005
05_model-2,Colorado,oct1,141.55,,,,False,133,8.550000000000011
05_model-2,Iowa,oct1,163.1,,,,False,210,-46.900000000000006
05_model-2,Missouri,oct1,151.29,,,,False,185,-33.71000000000001
05_model-2,Nebraska,oct1,175.87,,,,False,194,-18.129999999999995
05_model-2,Wisconsin,oct1,160.86,,,,False,188,-27.139999999999986
05_model-2,Colorado,sep1,140.24,126.0,14.240000000000009,11.3,True,133,7.240000000000009
05_model-2,Iowa,sep1,164.76,219.0,-54.24000000000001,-24.77,False,210,-45.24000000000001
05_model-2,Missouri,sep1,151.01,184.0,-32.99000000000001,-17.93,False,185,-33.99000000000001
05_model-2,Nebraska,sep1,173.39,191.0,-17.610000000000014,-9.22,False,194,-20.610000000000014
05_model-2,Wisconsin,sep1,162.51,184.0,-21.49000000000001,-11.68,False,188,-25.49000000000001
05_model1.1,Colorado,aug1,141.19,118.0,23.189999999999998,19.65,False,133,8.189999999999998
05_model1.1,Iowa,aug1,172.68,222.0,-49.31999999999999,-22.22,False,210,-37.31999999999999
05_model1.1,Missouri,aug1,166.81,191.0,-24.189999999999998,-12.66,False,185,-18.189999999999998
05_model1.1,Nebraska,aug1,182.81,192.0,-9.189999999999998,-4.79,False,194,-11.189999999999998
05_model1.1,Wisconsin,aug1,165.34,185.0,-19.659999999999997,-10.63,False,188,-22.659999999999997
05_model1.1,Colorado,final,143.92,130.0,13.919999999999987,10.71,False,133,10.919999999999987
05_model1.1,Iowa,final,166.28,216.0,-49.72,-23.02,False,210,-43.72
05_model1.1,Missouri,final,162.07,178.0,-15.930000000000007,-8.95,False,185,-22.930000000000007
05_model1.1,Nebraska,final,178.01,191.0,-12.990000000000009,-6.8,False,194,-15.990000000000009
05_model1.1,Wisconsin,final,165.23,183.0,-17.77000000000001,-9.71,False,188,-22.77000000000001
05_model1.1,Colorado,oct1,143.11,,,,False,133,10.110000000000014
05_model1.1,Iowa,oct1,168.29,,,,False,210,-41.71000000000001
05_model1.1,Missouri,oct1,158.18,,,,False,185,-26.819999999999993
05_model1.1,Nebraska,oct1,180.3,,,,False,194,-13.699999999999989
05_model1.1,Wisconsin,oct1,164.57,,,,False,188,-23.430000000000007
05_model1.1,Colorado,sep1,141.73,126.0,15.72999999999999,12.48,False,133,8.72999999999999
05_model1.1,Iowa,sep1,171.28,219.0,-47.72,-21.79,False,210,-38.72
05_model1.1,Missouri,sep1,158.01,184.0,-25.99000000000001,-14.13,False,185,-26.99000000000001
05_model1.1,Nebraska,sep1,180.52,191.0,-10.47999999999999,-5.49,False,194,-13.47999999999999
05_model1.1,Wisconsin,sep1,165.22,184.0,-18.78,-10.21,False,188,-22.78
05_model1.2,Colorado,aug1,139.77,118.0,21.77000000000001,18.45,False,133,6.77000000000001
05_model1.2,Iowa,aug1,165.48,222.0,-56.52000000000001,-25.46,False,210,-44.52000000000001
05_model1.2,Missouri,aug1,161.31,191.0,-29.689999999999998,-15.54,False,185,-23.689999999999998
05_model1.2,Nebraska,aug1,174.42,192.0,-17.580000000000013,-9.16,False,194,-19.580000000000013
05_model1.2,Wisconsin,aug1,159.4,185.0,-25.599999999999994,-13.84,False,188,-28.599999999999994
05_model1.2,Colorado,final,142.76,130.0,12.759999999999991,9.82,False,133,9.759999999999991
05_model1.2,Iowa,final,162.95,216.0,-53.05000000000001,-24.56,False,210,-47.05000000000001
05_model1.2,Missouri,final,156.64,178.0,-21.360000000000014,-12.0,False,185,-28.360000000000014
05_model1.2,Nebraska,final,175.93,191.0,-15.069999999999993,-7.89,False,194,-18.069999999999993
05_model1.2,Wisconsin,final,161.63,183.0,-21.370000000000005,-11.68,False,188,-26.370000000000005
05_model1.2,Colorado,oct1,141.55,,,,False,133,8.550000000000011
05_model1.2,Iowa,oct1,163.1,,,,False,210,-46.900000000000006
05_model1.2,Missouri,oct1,151.29,,,,False,185,-33.71000000000001
